DRXMC,DRXMCD
100867,"Carp, floured or breaded, fried W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
100874,"Tomatoes, red, NS as to form, fried W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
100883,"Chicken or turkey soup, cream of, prepared with water MADE FROM CONDENSED W/ 2 CANS OF WATER"
100888,"Peppers, hot, cooked, NS as to form, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
100893,"Carrots, cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
100894,"Snowpea (pea pod), cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
100895,"Bean sprouts, cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
100896,"Onion, young green, cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
100900,"Rice, white, cooked, converted, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
100908,Cucumber salad with creamy dressing W/ LOW CALORIE OR DIET MAYONNAISE-TYPE SALAD DRESSING (INCLUDE MIRACLE WHIP LIGHT)
100935,"Mushroom soup, cream of, canned, prepared with water, reduced sodium MADE FROM CONDENSED W/ 1/2 CAN OF WATER"
100940,"Egg omelet or scrambled egg, with cheese and ham or bacon W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
100944,"Apple and cabbage salad with dressing W/ VINEGAR, SUGAR, AND WATER DRESSING"
100955,"Green peppers and onions, cooked, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
100962,"Turnip greens, cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
100968,"Spinach dip, sour cream base W/ FAT FREE SOUR CREAM AND W/ LOW CALORIE OR DIET MAYONNAISE-TYPE SALAD DRESSING (INCLUDE MIRACLE WHIP LIGHT...)"
100975,"Ocean perch, floured or breaded, fried W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
100976,"Porgy, baked or broiled W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
100977,"Clams, floured or breaded, fried W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
100982,"Chicken or turkey soup, cream of, prepared with water MADE FROM CONDENSED W/ 1/2 CAN OF WATER"
100991,Rice pilaf W/O FAT
100995,"Egg omelet or scrambled egg, with sausage and cheese W/ BUTTER, NFS"
100996,Bean with bacon or pork soup MADE FROM CONDENSED W/ 1/2 CAN OF WATER
100997,"Fish with tomato-based sauce (mixture) W/ BUTTER, NFS"
101009,"Stewed potatoes with tomatoes W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
101012,Frankfurters or hot dogs with tomato-based sauce (mixture) W/ CHICKEN FRANKFURTERS
101013,"Egg omelet or scrambled egg, with sausage and cheese W/O FAT OR W/ NONSTICK SPRAY (INCLUDE PAM...)"
101015,"Flounder, breaded or battered, baked W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
101023,Milk shake with malt W/ 1% MILK
101034,"Scrambled egg, made from frozen mixture W/O FAT OR W/ NONSTICK SPRAY (INCLUDE PAM...)"
101036,"Crab, baked or broiled W/O FAT"
101067,"Peas and carrots, cooked, NS as to form, fat added in cooking W/ BUTTER, NFS"
101070,"Cod, battered, fried W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
101078,"Enfamil, with iron, infant formula, prepared from powder MADE W/ 1 SCOOP OF POWDER PER 4 FLUID OUNCES OF WATER"
101083,"Trout, floured or breaded, fried W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
101087,"Cabbage salad or coleslaw, with dressing W/ REDUCED CALORIE CREAMY DRESSING MADE W/ SOUR CREAM AND/OR BUTTERMILK AND OIL"
101093,"Macaroni, creamed, with cheese W/ BUTTER, NFS"
101096,"Tomato soup, prepared with water MADE FROM CONDENSED W/ 1/2 CAN OF WATER"
101098,"Isomil, with iron, infant formula, prepared from liquid concentrate MADE W/ TWICE THE AMOUNT OF WATER AS REQUIRED BY DIRECTIONS"
101101,"Squash, summer, and onions, cooked, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
101108,Kidney bean salad W/ FAT FREE MAYONNAISE-TYPE SALAD DRESSING
101113,"Peas, green, cooked, NS as to form, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
101120,"Carrots, raw, salad W/ MAYONNAISE-TYPE SALAD DRESSING (INCLUDE MIRACLE WHIP...)"
101130,"Fish stick, patty, or fillet, NS as to type, floured or breaded, fried W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
101135,"Sweetpotato, fried W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
101142,"Egg omelet or scrambled egg, with sausage W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
101146,"Squash, winter type, mashed, fat and sugar added in cooking W/ BUTTER, NFS"
101147,"Corn, cooked, from fresh, NS as to color, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
101172,"Chickpeas, dry, cooked, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
101188,"Squash, winter type, mashed, fat added in cooking, no sugar added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
101207,"Peas and carrots, cooked, from fresh, fat added in cooking W/ BUTTER, NFS"
101214,"Oyster stew W/ MARGARINE, NFS"
101215,"Enfamil, with iron, infant formula, prepared from powder MADE W/ 1 SCOOP OF POWDER PER 1-1/2 FLUID OUNCES OF WATER"
101226,"Green peppers and onions, cooked, fat added in cooking W/ BUTTER. NFS"
101228,Macaroni salad with tuna W/ LOW CALORIE OR DIET MAYONNAISE (INCLUDE HELLMAN'S LIGHT MAYONNAISE...)
101229,"Vegetable combinations, Oriental style, (broccoli, green pepper, chinese cabbage, water chestnuts, etc), cooked, fat added in cooking W/ BUTTER, NFS"
101241,"Beans, lima and corn (succotash), cooked, fat added in cooking W/ BUTTER, NFS"
101246,"Fruit-flavored drink, made from unsweetened powdered mix (fortified with vitamin C), with sugar added in preparation W/ 5/6 THE AMOUNT OF SUGAR AS REQUIRED BY DIRECTIONS"
101262,"Rice, white, cooked, regular, fat added in cooking W/ ANIMAL FAT OR MEAT DRIPPINGS"
101265,Chicken or turkey salad W/ REDUCED CALORIE THOUSAND ISLAND DRESSING
101269,Carrots in tomato sauce W/O FAT
101272,"Egg omelet or scrambled egg, with hot dogs W/ EGG WHITE ONLY"
101277,"Tomatoes, red, from fresh, fried W/ ANIMAL FAT OR MEAT DRIPPINGS"
101281,"Pinacbet (eggplant with tomatoes, bitter melon, etc.) W/ ANIMAL FAT OR MEAT DRIPPINGS"
101284,"Ocean perch, baked or broiled W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
101287,"Spinach, cooked, NS as to form, fat added in cooking W/ VEGETABLE OIL"
101288,"Vegetables, stew type (including potatoes, carrots, onions, celery) cooked, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
101289,"Egg omelet or scrambled egg, with hot dogs W/O FAT"
101291,"Chicken, thigh, coated, baked or fried, prepared with skin, skin/coating eaten W/ BUTTER, NFS"
101292,"Rice, brown and wild, cooked, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
101293,"Milk shake, homemade or fountain-type, flavors other than chocolate W/ 1% MILK"
101295,"Whiting, battered, fried W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
101297,Salmon salad  W/ MAYONNAISE-TYPE SALAD DRESSING (INCLUDE MIRACLE WHIP)
101298,"Rice with beans and chicken W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
101300,"Chicken, NS as to part, coated, baked or fried, prepared with skin, skin/coating not eaten W/ MARGARINE NFS"
101302,Seafood salad W/ LIGHT MAYONNAISE
101303,"Salmon, floured or breaded, fried W/ ANIMAL FAT OR MEAT DRIPPINGS"
101304,"Collards, cooked, from fresh, fat added in cooking W/ VEGETABLE SHORTENING"
101306,"Pizza with meat, thick crust W/ ALL CHICKEN, NFS"
101307,Macaroni or pasta salad with shrimp W/ REDUCED FAT RANCH DRESSING
101309,"Lentils, dry, cooked, fat added in cooking W/ MARGARINE"
101310,"Chickpeas, dry, cooked, fat added in cooking W/ MARGARINE"
101311,"Turnip, cooked, from fresh, fat added in cooking W/ VEGETABLE SHORTENING"
101313,"Brussels sprouts, cooked, from frozen, fat added in cooking W/ VEGETABLE OIL, (INCLUDING OIL, NFS)"
101315,Cappuccino W/ 2% MILK
101316,"Coffee, mocha W/ SKIM MILK"
101318,"Pudding, rice W/ RICE MILK"
101321,"Grits, cooked, corn or hominy, quick, fat added in cooking W/ MILK"
101322,"Grits, cooked, corn or hominy, instant, fat not added in cooking W/ MILK"
101323,"Grits, cooked, corn or hominy, with cheese, instant, fat added in cooking W/ MILK"
101325,"Grits, cooked, corn or hominy, instant, fat added in cooking W/ MILK"
101326,"Grits, cooked, flavored, corn or hominy, instant, fat not added in cooking W/ MILK"
101327,"Oatmeal, cooked, quick (1 or 3 minutes), fat added in cooking W/ MILK"
101328,"Wheat, cream of, cooked, instant, fat added in cooking W/ MILK"
101329,"Whole wheat cereal, cooked, fat not added in cooking W/ MILK"
101330,"Wheat, cream of, cooked, quick, fat added in cooking W/ MILK"
101331,Bean with bacon or pork soup W/ MILK
101335,"Whole wheat cereal, wheat and barley, cooked, fat not added in cooking  W/ MILK"
101336,"Pinto, calico, or red Mexican beans, dry, cooked, fat added in cooking W/ ANIMAL FAT OR MEAT DRIPPINGS"
101337,"Beans, dry, cooked, NS as to type, fat added in cooking W/ ANIMAL FAT OR MEAT DRIPPINGS"
101338,"White beans, dry, cooked, fat added in cooking W/ ANIMAL FAT OR MEAT DRIPPINGS"
101339,"Black, brown, or Bayo beans, dry, cooked, fat added in cooking W/ ANIMAL FAT OR MEAT DRIPPINGS"
101340,"Lima beans, dry, cooked, fat added in cooking W/ ANIMAL FAT OR MEAT DRIPPINGS"
101341,"Red kidney beans, dry, cooked, fat added in cooking W/ ANIMAL FAT OR MEAT DRIPPINGS"
101342,"Mung beans, fat added in cooking W/ ANIMAL FAT OR MEAT DRIPPINGS"
101343,"Cowpeas, dry, cooked, fat added in cooking W/ ANIMAL FAT OR MEAT DRIPPINGS"
101344,"Enfamil Lipil, with iron, infant formula, prepared from powder MADE W/ 1 SCOOP OF POWDER PER 4 FLUID OUNCES OF WATER"
200020,Tuna salad W/ LOW CALORIE OR DIET MAYONNAISE-TYPE SALAD DRESSING (INCLUDE MIRACLE WHIP LIGHT..)
200047,"Egg, whole, fried W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
200056,"Rice, white, cooked, regular, fat added in cooking W/ BUTTER, NFS"
200058,"Beans, string, green, cooked, from canned, fat added in cooking W/ BUTTER, NFS"
200059,"Egg omelet or scrambled egg, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
200060,"Refried beans W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
200095,"Egg, whole, fried W/ VEGETABLE SHORTENING"
200099,Tuna salad W/ FAT FREE MAYONNAISE-TYPE SALAD DRESSING (INCLUDE KRAFT FREE NONFAT MAYONNAISE DRESSING; KRAFT MIRACLE WHIP FREE NONFAT DRESSING...)
200118,"Pudding, rice W/ 2% MILK"
200126,"Cabbage salad or coleslaw, with dressing W/ LOW CALORIE OR DIET MAYONNAISE-TYPE SALAD DRESSING (INCLUDE MIRACLE WHIP LIGHT)"
200135,"Carrots, cooked, from fresh, fat added in cooking W/ BUTTER, NFS"
200139,"Egg omelet or scrambled egg, fat added in cooking W/ BUTTER, NFS"
200157,"Mushrooms, cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
200166,"Cabbage, Chinese, cooked, fat added in cooking W/ BUTTER, NFS"
200167,"Onions, mature, cooked or sauteed, NS as to form, fat added in cooking W/ BUTTER, NFS"
200168,"Peppers, green, cooked, fat added in cooking W/ BUTTER, NFS"
200170,"Broccoli, cooked, NS as to form, fat added in cooking W/ BUTTER, NFS"
200172,"Spinach, cooked, from fresh, fat added in cooking W/ BUTTER, NFS"
200175,"Egg omelet or scrambled egg, fat added in cooking W/ VEGETABLE SHORTENING"
200188,"Milk, malted, fortified, NS as to flavor, made with milk W/ WHOLE MILK"
200202,"Salmon, baked or broiled W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
200204,"Rice, white, cooked, converted, fat added in cooking W/ BUTTER, NFS"
200208,"Okra, cooked, from frozen, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
200211,"White rice with tomato sauce W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
200220,"Corn, white, cooked, from frozen, fat added in cooking W/ BUTTER, NFS"
200225,"Beans, string, green, cooked, from fresh, fat added in cooking W/ BUTTER, NFS"
200230,Pea salad with cheese W/ MAYONNAISE-TYPE SALAD DRESSING (INCLUDE MIRACLE WHIP..)
200240,"Corn, yellow, cooked, from canned, fat added in cooking W/ BUTTER, NFS"
200243,"Pudding, chocolate, prepared from dry mix, milk added W/ SKIM MILK"
200246,"Pinto, calico, or red Mexican beans, dry, cooked, fat added in cooking W/ MARGARINE, NFS"
200250,"Rice pilaf W/ BUTTER, NFS"
200264,"Fish, NS as to type, baked or broiled W/ BUTTER, NFS"
200265,"Salmon, baked or broiled W/ BUTTER, NFS"
200310,"Cabbage salad or coleslaw, with dressing W/ MAYONNAISE-TYPE SALAD DRESSING (INCLUDE MIRACLE WHIP)"
200313,Potato salad W/ MAYONNAISE-TYPE SALAD DRESSING (INCLUDE MIRACLE WHIP)
200316,"Onions, mature, cooked or sauteed, from fresh, fat added in cooking W/ BUTTER, NFS"
200320,Potato salad W/ FAT FREE MAYONNAISE-TYPE SALAD DRESSING (INCLUDE KRAFT FREE NONFAT MAYONNAISE DRESSING; KRAFT MIRACLE WHIP FREE NONFAT DRESSING...)
200323,"Onions, mature, cooked or sauteed, NS as to form, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
200324,"Egg omelet or scrambled egg, with ham or bacon W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
200326,Macaroni salad with egg W/ FAT FREE MAYONNAISE-TYPE SALAD DRESSING (INCLUDE KRAFT FREE NONFAT MAYONNAISE DRESSING; KRAFT MIRACLE WHIP FREE NONFAT DRESSING...)
200327,"Egg omelet or scrambled egg, with ham or bacon W/ BUTTER, NFS"
200329,"Sweetpotato, candied W/ BUTTER, NFS"
200333,"Rice, white, cooked, regular, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
200334,"Rice, cooked, NS as to type, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"
200344,"Cabbage salad or coleslaw, with dressing W/ REDUCED CALORIE COLESLAW DRESSING (INCLUDE MARZETTI LIGHT SLAW DRESSING)"
200361,"Peas, green, cooked, from frozen, fat added in cooking W/ BUTTER, NFS"
200364,"Carrots, cooked, from canned, glazed W/ BUTTER, NFS"
